threshold,accuracy,precision,recall,f1_score,predicted_positive_rate
0.6,0.6289,0.2542624166048925,0.5975609756097561,0.35673426937077485,0.4047
0.65,0.6408,0.25612936880542514,0.570267131242741,0.353491720662347,0.3834
0.55,0.5424,0.2269422120168389,0.6887340301974448,0.3413932066781808,0.5226
0.5,0.4142,0.207579185520362,0.8524970963995354,0.33386399818057766,0.7072
0.45,0.3861,0.2046275244081851,0.8885017421602788,0.3326448527013806,0.7477
0.4,0.3738,0.20194327731092437,0.8931475029036005,0.32940672520882414,0.7616
0.35,0.3027,0.1904256573517274,0.937862950058072,0.3165735567970205,0.8481
0.3,0.2009,0.17508033585570643,0.980836236933798,0.29712375758641923,0.9647
0.2,0.1723,0.17221722172217221,1.0,0.2938315843358075,0.9999
0.1,0.1722,0.1722,1.0,0.29380651765910254,1.0
0.15,0.1722,0.1722,1.0,0.29380651765910254,1.0
0.25,0.1738,0.17208182912154033,0.9965156794425087,0.2934838378655721,0.9972
0.7,0.7731,0.2529358626919603,0.16260162601626016,0.19794980558501238,0.1107
0.75,0.8278,0.0,0.0,0.0,0.0
0.8,0.8278,0.0,0.0,0.0,0.0
0.85,0.8278,0.0,0.0,0.0,0.0
0.9,0.8278,0.0,0.0,0.0,0.0
